index,x_mm,y_mm,z_mm
446,64.06658,-27.74052,6.58200
447,69.33612,-26.63115,6.42600
448,28.28921,-25.24443,6.58200
449,20.52358,-23.58036,6.58200
450,65.17596,-22.19364,6.58200
451,63.51189,-19.97489,6.58200
452,43.82047,-17.75614,6.42600
453,34.11343,-15.53739,6.58200
454,35.22281,-13.87332,6.58200
455,55.19157,-12.20926,6.58200
456,62.12518,-11.37723,6.58200
457,30.78531,-8.88113,6.58200
458,26.07046,-8.04910,6.58200
459,41.60172,-6.93972,6.58200
460,38.82828,-5.27566,6.58200
461,44.09782,-2.77956,6.58200
462,54.91423,-1.39284,6.58200
463,56.02361,-35.78350,6.89400
464,36.05484,-34.67412,6.89400
465,59.90643,-33.56475,6.89400
466,24.40639,-31.90068,6.89400
467,66.56268,-30.23662,6.89400
468,64.62127,-28.84990,6.89400
469,39.38297,-26.63115,6.73800
470,67.67206,-25.52177,6.73800
471,24.40639,-23.85771,6.73800
472,65.73064,-22.74833,6.89400
473,43.26579,-21.08427,6.73800
474,42.98844,-19.42020,6.89400
475,38.82828,-17.20145,6.73800
476,34.39078,-15.53739,6.73800
477,35.22281,-13.87332,6.89400
478,55.19157,-12.20926,6.89400
479,51.86345,-9.99051,6.89400
480,39.93766,-8.32644,6.73800
481,41.32438,-7.21707,6.89400
482,37.16422,-5.83035,6.89400
483,39.38297,-4.16628,6.89400
484,51.03142,-2.22488,6.73800
485,61.29314,-0.56081,6.89400
486,42.71110,-35.50616,7.05000
487,47.70329,-35.22881,7.20600
488,60.46111,-34.11943,7.20600
489,60.73846,-32.17803,7.20600
490,63.78924,-30.79131,7.20600
491,21.07827,-29.12724,7.20600
492,20.24623,-27.18583,7.20600
493,64.06658,-26.63115,7.20600
494,20.24623,-24.96708,7.20600
495,42.71110,-23.85771,7.05000
496,59.90643,-22.47099,7.20600
497,61.29314,-21.08427,7.20600
498,31.89468,-19.42020,7.20600
499,62.95721,-18.31083,7.20600
500,34.39078,-16.36942,7.20600
501,61.57049,-14.42801,7.05000
502,61.29314,-12.76395,7.20600
503,49.92204,-9.99051,7.05000
504,50.47673,-8.32644,7.05000
505,62.40252,-7.21707,7.20600
506,37.71890,-5.55300,7.05000
507,62.95721,-4.44363,7.20600
508,62.95721,-2.77956,7.20600
509,62.40252,-1.11550,7.20600
